,Unnamed: 0,Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Pop_White,Pop_Black,Pop_AIAN,Pop_Asian,Pop_NHPI,Pop_Total,Cases_TotalN,Cases_WhiteN,Cases_BlackN,Cases_AsianN,Cases_AIANN,Cases_NHPIN,Deaths_TotalN,Deaths_WhiteN,Deaths_BlackN,Deaths_AsianN,Deaths_AIANN,Deaths_NHPIN
49,49,9/16/2020,WV,13196,10405,830,0,0,0,2,0,1959,0,0,0,0,290,58,3,0,0,0,0,0,0,229,0,0,0,1746513,63885,3975,12637,485,1827495,0.00722081318963937,0.00595758519976662,0.01299209517101041,0.0,0.0,0.004123711340206186,0.00015868716467076516,3.320902850422528e-05,4.6959380136182205e-05,0.0,0.0,0.0
50,50,9/16/2020,WY,4566,2408,46,599,30,483,15,0,224,889,599,3206,889,46,20,1,2,0,15,0,0,0,8,2,35,8,529110,5135,14457,4649,521,553872,0.008243781956842014,0.004551038536410199,0.008958130477117819,0.006453000645300065,0.0334094210417099,0.028790786948176585,8.305167981049773e-05,3.779932339211128e-05,0.00019474196689386563,0.0,0.0010375596596804316,0.0
51,51,9/13/2020,AK,7193,1618,245,0,166,1076,242,216,218,3412,388,2441,4364,44,18,0,0,3,16,5,0,0,2,1,40,3,483873,24441,106268,38882,7662,661126,0.01087992304038867,0.003343852622485652,0.010024139765148725,0.004269327709479965,0.0101253434712237,0.03158444270425476,6.655312300529703e-05,3.719984376065621e-05,0.0,7.715652487011985e-05,0.00015056272819663494,0.0006525711302531976
52,52,9/13/2020,AL,138755,41839,32090,0,503,0,0,0,8780,55554,7321,60356,71077,2351,1204,878,0,8,0,0,0,50,211,64,1889,398,3362877,1259224,32903,55240,5208,4715452,0.029425599073005092,0.012441430358588792,0.025483948844685297,0.009105720492396814,0.0,0.0,0.0004985736256036537,0.00035802677290902997,0.0006972548172525301,0.0001448225923244026,0.0,0.0
53,53,9/13/2020,AR,70219,39392,15097,0,844,177,2247,564,4985,6913,14184,56034,1,981,619,218,0,13,2,43,7,52,27,77,892,969,2342403,454021,26134,37537,6685,2866780,0.0244940316313076,0.01681691835264897,0.03325176588748097,0.022484481977781922,0.006772786408509987,0.33612565445026177,0.0003421957736554601,0.00026425854133554303,0.0004801540016871466,0.00034632495937341823,7.65286599831637e-05,0.006432311144353029
54,54,9/13/2020,AZ,208512,49863,6302,63363,1991,12370,0,0,6339,68284,63363,76865,68284,5322,1845,167,1630,61,562,0,0,89,594,1630,3098,594,5418483,280905,335278,188456,16112,6239234,0.03341948707165014,0.009202391148961804,0.022434630925045836,0.010564800271681454,0.03689475599353372,0.0,0.0008529893252921753,0.0003405012067030569,0.0005945070397465335,0.0003236829817039521,0.001676220927111233,0.0
55,55,9/13/2020,CA,754923,87284,22091,313582,28330,1291,2842,5148,55387,238968,313582,202373,238968,14329,4165,1092,6824,1654,42,56,98,110,288,6824,7217,288,27636403,2486549,622107,5038123,181431,35964613,0.02099071662469995,0.0031582981330819356,0.008884200552653498,0.0056231259141549346,0.0020752057122006345,0.015664357248761238,0.00039841941299354454,0.000150707022183748,0.00043916287191605714,0.0003282968677025154,6.751250186864961e-05,0.0003086572856898766
56,56,9/13/2020,CO,61324,22646,2814,23192,1208,331,245,821,496,9566,23192,28561,0,1889,1182,120,437,59,13,5,26,8,35,437,1413,35,4450623,214919,78144,144819,8420,4896925,0.012522960837668537,0.005088276405348195,0.013093304919527822,0.008341446909590593,0.004235769860769861,0.029097387173396674,0.0003857522833206553,0.00026558079621661956,0.0005583498899585425,0.00040740510568364647,0.00016635954135954135,0.0005938242280285036
57,57,9/13/2020,CT,54326,19122,7181,10575,790,53,0,195,351,16059,10575,27692,16059,4480,3273,661,399,48,2,0,35,21,41,399,4040,41,2950820,392131,16734,140516,3491,3503692,0.015505358347708645,0.006480232613307487,0.018312757726372055,0.005622135557516582,0.0031672044938448668,0.0,0.0012786512056425052,0.0011091832100907544,0.0016856611693541188,0.0003415981098237923,0.00011951715071112705,0.0
58,58,9/13/2020,DC,14592,3163,7497,0,226,37,39,0,3531,99,3753,9559,1280,616,66,459,77,8,0,0,0,6,0,77,539,0,251265,310379,3264,21705,770,587383,0.02484239414487651,0.01258830318587945,0.024154340338747145,0.01041234738539507,0.01133578431372549,0.05064935064935065,0.001048719489668581,0.0002626708853202794,0.001478837163596764,0.00036857866850956,0.0,0.0
59,59,9/13/2020,DE,18849,6735,5011,4442,249,0,0,0,877,1535,4442,12872,1535,615,395,159,48,1,0,0,0,12,0,48,567,0,645770,196281,5929,29342,690,878012,0.02146781592962283,0.010429409851804822,0.025529725240853673,0.00848612909822098,0.0,0.0,0.0007004460075716505,0.0006116728866314632,0.0008100631237868158,3.408083975189148e-05,0.0,0.0
60,60,9/13/2020,FL,663994,162384,97451,190037,0,0,0,0,42887,171235,190037,258335,215622,12764,5999,2339,3177,0,0,0,0,535,714,3177,8171,1416,14808867,3078067,89119,474199,18790,18469042,0.03595172938585553,0.010965322330195822,0.03165980467611654,0.0,0.0,0.0,0.0006911024405055769,0.00040509513658269736,0.0007598924909691699,0.0,0.0,0.0
61,61,9/13/2020,GA,294314,85153,75225,37617,4445,178,315,0,8160,83221,37617,143533,113164,6333,3054,2650,394,118,7,8,0,23,79,394,5837,102,6144931,2993927,48599,323459,10454,9521370,0.030910887823916097,0.01385743794356682,0.025125863122247134,0.013742081685777795,0.0036626268030206383,0.03013200688731586,0.0006651353744261592,0.0004969950028730998,0.0008851251216212019,0.00036480666792391,0.00014403588551204757,0.0007652573177731012
62,62,9/13/2020,HI,10700,739,84,0,1671,0,1966,0,231,6009,0,0,0,99,0,0,0,0,0,0,0,0,99,0,0,0,349051,22473,4960,531633,138292,1046409,0.010225447219968483,0.0021171691242826978,0.003737818715792284,0.0031431457415171745,0.0,0.014216295953489718,9.460927801653082e-05,0.0,0.0,0.0,0.0,0.0
63,63,9/13/2020,IA,72533,50049,4352,0,2176,725,725,0,1450,13056,10154,49323,13056,1219,997,43,0,24,4,11,0,5,131,68,1006,143,2839615,91695,13563,54232,2419,3001524,0.02416539064821737,0.01762527666602691,0.04746169365832379,0.04012391208142794,0.0534542505345425,0.2997106242248863,0.0004061270208067635,0.0003511039348644094,0.00046894596215715144,0.0004425431479569258,0.0002949200029492,0.0045473336089293095
64,64,9/13/2020,ID,35279,17038,345,0,250,521,92,1190,3723,12120,6359,12456,16463,415,393,4,0,3,5,0,0,5,5,48,363,4,1476097,10950,25782,20034,2786,1535649,0.022973348727476136,0.011542601875080025,0.031506849315068496,0.012478786063691724,0.020207896982390814,0.033022254127781765,0.00027024404665389033,0.00026624266562427806,0.00036529680365296805,0.0001497454327643007,0.00019393375223023814,0.0
